gene,genotype,time,n,mean_dCt,sd_dCt,var_dCt,mean_Forw_ok,max_Forw_ok,mean_both_ok,mean_dropped,mean_unique_mapped
WRKY48,Rpv12,0,3,7.014333409151065,0.4398797781556356,0.1934942192302512,1.89,2.61,96.27,0.3433333333333333,93.58999999999999
WRKY48,Rpv12,6,3,6.276247276133856,0.6798813714850896,0.4622386792924465,2.8000000000000003,3.07,95.18333333333332,0.46,92.43666666666667
WRKY48,Rpv12,24,3,6.312063228338345,1.129005022163065,1.2746523400694227,8.636666666666667,9.84,89.24000000000001,0.6133333333333334,84.33999999999999
WRKY48,Rpv12+1,0,3,6.435946838199178,0.4351349153538286,0.1893423945599835,2.4333333333333336,2.6,95.48333333333333,0.4366666666666667,92.82333333333334
WRKY48,Rpv12+1,6,3,5.264850473144294,0.3583078525561009,0.1283845172033645,3.1199999999999997,3.71,94.79666666666667,0.52,94.03666666666668
WRKY48,Rpv12+1,24,3,6.720758925630111,0.7059148778157541,0.498315814721631,3.9166666666666665,6.09,94.11333333333334,0.5266666666666667,93.81666666666666
WRKY48,Rpv12+1+3,0,3,5.672456269395007,0.6031946426966226,0.3638437769779062,2.61,2.96,95.06666666666666,0.49,94.45
WRKY48,Rpv12+1+3,6,3,6.2525373572875,1.130017105082283,1.276938657778543,2.2066666666666666,2.7,95.69,0.4533333333333333,94.20333333333333
WRKY48,Rpv12+1+3,24,3,6.063615154235827,0.8473740067928269,0.7180427073881299,4.83,6.4,93.23,0.45999999999999996,88.59333333333332
WRKY48,Susceptible,0,3,8.239980683317055,0.916416340286084,0.8398189087433396,4.073333333333333,6.97,93.83,0.43333333333333335,90.78333333333335
WRKY48,Susceptible,6,3,7.111607208528979,1.788488397247253,3.1986907470880475,3.1500000000000004,4.32,94.83999999999999,0.44,91.66000000000001
WRKY48,Susceptible,24,3,7.193903831325824,0.5578982954667634,0.31125050808472,3.76,5.04,94.13333333333333,0.48,87.78666666666668
bZIP53,Rpv12,0,3,5.649828893072665,1.184291495146219,1.4025463454756666,1.89,2.61,96.27,0.3433333333333333,93.58999999999999
bZIP53,Rpv12,6,3,5.684439405253666,0.6990483555169811,0.4886686033509955,2.8000000000000003,3.07,95.18333333333332,0.46,92.43666666666667
bZIP53,Rpv12,24,3,4.29466935697079,1.393424306376444,1.941631297600674,8.636666666666667,9.84,89.24000000000001,0.6133333333333334,84.33999999999999
bZIP53,Rpv12+1,0,3,6.348008822371689,1.127330010911924,1.2708729535026786,2.4333333333333336,2.6,95.48333333333333,0.4366666666666667,92.82333333333334
bZIP53,Rpv12+1,6,3,5.344255321075717,0.9216389821485677,0.8494184134158476,3.1199999999999997,3.71,94.79666666666667,0.52,94.03666666666668
bZIP53,Rpv12+1,24,3,4.1402102338673,1.595082130413908,2.544287002765772,3.9166666666666665,6.09,94.11333333333334,0.5266666666666667,93.81666666666666
bZIP53,Rpv12+1+3,0,3,5.37127352704394,1.122227281132792,1.2593940705186986,2.61,2.96,95.06666666666666,0.49,94.45
bZIP53,Rpv12+1+3,6,3,5.007716470208645,1.163995916834925,1.3548864944083776,2.2066666666666666,2.7,95.69,0.4533333333333333,94.20333333333333
bZIP53,Rpv12+1+3,24,3,3.637642036304381,0.5851796794039754,0.3424352571873394,4.83,6.4,93.23,0.45999999999999996,88.59333333333332
bZIP53,Susceptible,0,3,8.79698462603823,0.5058423325049972,0.2558764653540961,4.073333333333333,6.97,93.83,0.43333333333333335,90.78333333333335
bZIP53,Susceptible,6,3,5.630879587454534,1.151687495087069,1.3263840863399277,3.1500000000000004,4.32,94.83999999999999,0.44,91.66000000000001
bZIP53,Susceptible,24,3,4.937525451672626,1.002697647391796,1.0054025720850424,3.76,5.04,94.13333333333333,0.48,87.78666666666668
defensin,Rpv12,0,3,4.327610954597032,1.58933161352464,2.525974977748836,1.89,2.61,96.27,0.3433333333333333,93.58999999999999
defensin,Rpv12,6,3,4.393494578532622,2.096454628029475,4.395122007386205,2.8000000000000003,3.07,95.18333333333332,0.46,92.43666666666667
defensin,Rpv12,24,3,3.00076791189439,1.347401446373434,1.815490657689222,8.636666666666667,9.84,89.24000000000001,0.6133333333333334,84.33999999999999
defensin,Rpv12+1,0,3,2.269049237017767,1.421816894865919,2.021563282526164,2.4333333333333336,2.6,95.48333333333333,0.4366666666666667,92.82333333333334
defensin,Rpv12+1,6,3,2.014022792733472,1.57741949189507,2.4882522534105007,3.1199999999999997,3.71,94.79666666666667,0.52,94.03666666666668
defensin,Rpv12+1,24,3,2.697428619764912,1.464918207054576,2.1459853533599937,3.9166666666666665,6.09,94.11333333333334,0.5266666666666667,93.81666666666666
defensin,Rpv12+1+3,0,3,1.134025032693473,1.258367811200066,1.583489548264445,2.61,2.96,95.06666666666666,0.49,94.45
defensin,Rpv12+1+3,6,3,1.020681345032623,1.674993547108836,2.80560338285624,2.2066666666666666,2.7,95.69,0.4533333333333333,94.20333333333333
defensin,Rpv12+1+3,24,3,2.513733929614148,1.11515578568209,1.2435724263402392,4.83,6.4,93.23,0.45999999999999996,88.59333333333332
defensin,Susceptible,0,3,5.125736843946613,1.572058236327153,2.4713670984040386,4.073333333333333,6.97,93.83,0.43333333333333335,90.78333333333335
defensin,Susceptible,6,3,5.225393217502666,1.430053512612787,2.0450530489361705,3.1500000000000004,4.32,94.83999999999999,0.44,91.66000000000001
defensin,Susceptible,24,3,3.540198919149724,1.715450349716761,2.9427699023433576,3.76,5.04,94.13333333333333,0.48,87.78666666666668
